name,date,review
,2020-07-11,"外送員 就說沒辦法出去拿
請他拿到我的櫃檯上
還是一直叫我出去
臉臭的跟大便一樣

餐點拿到 一點冰都沒有 只是涼的
之前買的 都沒有這樣
嚴重懷疑就是外送員一直在外曝曬的關係"
,2020-06-08,"1.軟法麵包的奶油沒有附到
2.每次購買熱飲都會灑出來，杯蓋與杯子密合度不佳
以上建議，麻煩你們了，謝謝🙏"
小玲,2020-06-01,已訂購幾次，發現熱飲到都會灑出來，需改進一下包裝
宜瑾,2020-05-23,樂愛～
周,2020-05-18,謝謝
,2020-05-16,The most white chocolate latte I‘ve ever had!
,2020-05-14,鮭魚筆管麵量很少
妍慧,2020-04-30,出了點小意外 謝謝有耐心和體貼的外送人員
,2020-04-29,"負責該筆訂單（訂單編號：e0jn-wyd1）
該名外送員態度差勁，餐點送到撥了兩通電話後（當下手機剛好不在身旁所以沒有接通），就再也沒有聯絡我，我還親自傳訊息詢問，甚至還回撥，等到我下樓取餐，該名外送員直接坐在摩托車上，左手伸長把袋子拎在半空中，完全沒有想下車將食物親手拿給我的服務態度，當下我看到該狀相當傻眼，勉強上前跟他拿食物就趕緊關上大門，最後該名外送員直接脫口而出說：有沒有水準啊？直接騎車揚長而去⋯⋯
身為大型外送平台的人員態度竟如此囂張跋扈，強烈建議加強人員訓練，不適者請直接淘汰謝謝，服務業講重的就是人與人之間親切感和舒適度，否則遲早會被這競爭的市場給淘汰，甚至在不久的將來讓機器人來取代駕駛員不就得了？"
,2020-04-25,其中一杯咖啡的蓋子沒有蓋好，有點灑出來了⋯⋯
珮嘉,2020-04-23,蓋子沒蓋好打翻一些燙傷
亭如,2020-04-19,包的很好👍
,2020-04-19,超棒
,2020-04-18,地址一開始設定錯誤的時候，要用什麼方式改正？
李,2020-04-15,有點甜
chen,2020-03-30,星巴克就是讚
曾,2020-03-18,馥列白這次做的很難喝，燕麥奶加太少
,2020-03-07,棒
郁均,2020-02-23,果然是星巴克 超級優質 東西好吃 包裝好精美
翊涵,2020-02-07,餐點都不錯 包裝也很貼心 但沒有發票很奇怪
,2020-01-31,咖啡蓋沒蓋緊，稍微漏了一點咖啡
羽書,2020-01-27,很貼心，每次都會把糖球或是餐巾紙備妥
